dataset,model,lambda,rp3_beta,graph_source,normalise,gamma,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,30.0,q2,4520,0.0014678373854370105,0.0030424823455796907,0.00663716814159292,0.0027358081281827966,0.006825185607686498,0.01504424778761062
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,30.0,q3,3059,0.00015877568733268366,0.0003541462351531001,0.0009807126511932004,0.000254029252239232,0.0006810504522175002,0.0016345210853220007
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,30.0,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,30.0,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,50.0,overall,5957,0.12079196579237561,0.08397151620251435,0.5076380728554641,0.13307150859957792,0.14224583501839563,0.6610710088970958
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,50.0,q1,5787,0.13456385788416514,0.11834453614026666,0.521168135476067,0.15602635316820165,0.19880652188775494,0.6782443407637809
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,50.0,q2,4520,0.0007129497452959338,0.0015638687762581567,0.003761061946902655,0.0016768320387120848,0.004617492880767217,0.008849557522123894
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,50.0,q3,3059,6.323190703408657e-05,0.00016345210853220007,0.00032690421706440013,0.00013542898179405683,0.0003541462351531001,0.0009807126511932004
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,50.0,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,50.0,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,75.0,overall,5957,0.12012590876561874,0.08132147140296232,0.5056236360584186,0.1317463810478261,0.13785358854058372,0.6562027866375693
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,75.0,q1,5787,0.133300525267429,0.11365795866809483,0.5197857266286504,0.15397782821627812,0.19213919086172793,0.6742699153274581
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,75.0,q2,4520,0.000251687303181774,0.0004515285599356396,0.0017699115044247787,0.0008111097061532697,0.002143304090206745,0.0048672566371681415
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,75.0,q3,3059,0.0,0.0,0.0,3.611389178133293e-05,0.00010896807235480004,0.00032690421706440013
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,75.0,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,75.0,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
