dataset,seed,model,w_source,gamma,normalise,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
ml-1m,4,GS-EASE,binary,0.3,sym,q2,4417,0.021117091230220136,0.03140930719330687,0.09576635725605614,0.03070027707935578,0.05867194082149364,0.1713832918270319
ml-1m,4,GS-EASE,binary,0.3,sym,q3,2931,0.0015057047375040666,0.002938146144389747,0.006482429205049471,0.0031563348472693634,0.00865631629449439,0.017059024223814397
ml-1m,4,GS-EASE,binary,0.3,sym,q4,1676,8.296908085368473e-05,0.00014916467780429595,0.0005966587112171838,8.296908085368473e-05,0.00014916467780429595,0.0005966587112171838
ml-1m,4,GS-EASE,binary,0.3,sym,q5,710,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,4,Lap-EASE,binary,1.0,sym,overall,6006,0.365060270321799,0.2244591896321593,0.8757908757908758,0.3661112906064967,0.3293195609494517,0.9314019314019314
ml-1m,4,Lap-EASE,binary,1.0,sym,q1,5939,0.38620496028650997,0.28763758530374306,0.879104226300724,0.4025959417336912,0.4184235453250228,0.9326485940394006
ml-1m,4,Lap-EASE,binary,1.0,sym,q2,4417,0.011291735864339417,0.022720246305923057,0.04686438759338918,0.020511385009833946,0.05014741502345346,0.11817976001811184
ml-1m,4,Lap-EASE,binary,1.0,sym,q3,2931,0.0017098097302440704,0.003844779126253026,0.005800068236096895,0.003298498048160992,0.009179785868629265,0.01501194131695667
ml-1m,4,Lap-EASE,binary,1.0,sym,q4,1676,0.0006216069039072543,0.001392203659506762,0.0017899761336515514,0.0008222340648845733,0.0021877486077963404,0.002386634844868735
ml-1m,4,Lap-EASE,binary,1.0,sym,q5,710,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,4,GS-EASE,binary,1.0,sym,overall,6006,0.0984982989729006,0.05144463432568954,0.42773892773892774,0.10166960034896178,0.08652857635508902,0.5597735597735598
ml-1m,4,GS-EASE,binary,1.0,sym,q1,5939,0.09754208219572671,0.06575681843690329,0.41353763259808046,0.1043204396537815,0.1084753253732858,0.537295841050682
ml-1m,4,GS-EASE,binary,1.0,sym,q2,4417,0.014517438753521874,0.021845056998086938,0.07063617840163007,0.02118019293352866,0.04060429451647798,0.12949966040298846
ml-1m,4,GS-EASE,binary,1.0,sym,q3,2931,0.0011803441403508343,0.0024674106173594402,0.006141248720573183,0.002430948588366685,0.006559004038533209,0.01501194131695667
